Feature set,Model,Best params,CV F1 micro,Train F1 micro,Train F1 macro,Train Subset Accuracy,Test F1 micro,Test F1 macro,Test F1 samples,Test Subset Accuracy,Test Hamming Loss,Overfit Gap (F1 micro)
TFIDF-SVD,SVM,"{'estimator__C': 10, 'estimator__kernel': 'rbf'}",0.8118589540633886,0.987375415282392,0.9892127564541582,0.9732411837674996,0.8252361673414305,0.8131265212996814,0.8102857142857142,0.7428571428571429,0.074,0.16213924794096157
AAC-CV+TFIDF-SVD,SVM,"{'estimator__C': 10, 'estimator__kernel': 'rbf'}",0.8103168738022812,0.982464846980976,0.9849136030621513,0.9629629629629629,0.827906976744186,0.8175777350742852,0.8201190476190475,0.7414285714285714,0.074,0.15455787023679002
AAC-CV+TFIDF-SVD+PH,SVM,"{'estimator__C': 10, 'estimator__kernel': 'rbf'}",0.7824283726458171,0.878413825027002,0.8776370785571818,0.7705121389331916,0.7767717764595692,0.7616201416070542,0.7877857142857143,0.6535714285714286,0.10214285714285715,0.10164204856743286
TFIDF-SVD+PH,SVM,"{'estimator__C': 10, 'estimator__kernel': 'rbf'}",0.7823918761810822,0.8785190898573081,0.8775686859681455,0.7703349282296651,0.7771535580524345,0.7622453847145348,0.7887380952380951,0.6542857142857142,0.102,0.10136553180487362
AAC-CV+TFIDF-SVD+PH,RandomForest,"{'estimator__max_depth': 10, 'estimator__n_estimators': 400}",0.7366451438803732,0.9433841218925421,0.9558673901985388,0.8812688286372496,0.7423822714681441,0.7182902253763352,0.7131190476190477,0.6471428571428571,0.10628571428571429,0.201001850424398
TFIDF-SVD+PH,RandomForest,"{'estimator__max_depth': 10, 'estimator__n_estimators': 400}",0.732712295904978,0.9366033501643023,0.9502584746801339,0.8716994506468191,0.7382596685082873,0.7126067705139107,0.7073095238095238,0.6357142857142857,0.10828571428571429,0.19834368165601501
AAC-CV+PH,RandomForest,"{'estimator__max_depth': 10, 'estimator__n_estimators': 400}",0.7323050711813088,0.918123130215714,0.931275192689195,0.8339535707956761,0.7358108108108108,0.7198933621838928,0.7112142857142858,0.6235714285714286,0.11171428571428571,0.18231231940490322
AAC-CV,SVM,"{'estimator__C': 10, 'estimator__kernel': 'rbf'}",0.7274504602178322,0.8090333970869501,0.8062942758399168,0.6489455963140174,0.7322274881516587,0.7214605732837926,0.7544285714285714,0.5692857142857143,0.12914285714285714,0.07680590893529138
AAC-CV+TFIDF-SVD,RandomForest,"{'estimator__max_depth': 10, 'estimator__n_estimators': 400}",0.7239620425485012,0.9445204927933006,0.9568375903069027,0.8862307283359915,0.7397163120567376,0.7133314545538404,0.6968095238095238,0.64,0.10485714285714286,0.20480418073656304
AAC-CV,RandomForest,"{'estimator__max_depth': 10, 'estimator__n_estimators': 400}",0.715449406147845,0.9138706876134839,0.9263648911356999,0.8261562998405104,0.7275862068965517,0.706976306323902,0.6920952380952381,0.6121428571428571,0.11285714285714285,0.18628448071693215
