Feature set,Model,Best params,CV F1 (weighted),Train Accuracy,Train F1 (weighted),Test Accuracy,Test F1 (weighted),Overfit Gap (F1)
AAC-CV+TFIDF-SVD,SVM,"{'C': 10, 'kernel': 'rbf'}",0.8299380159400711,0.9878048780487805,0.987798463950701,0.8184546136534133,0.8155472214921168,0.17225124245858425
TFIDF-SVD,SVM,"{'C': 10, 'kernel': 'rbf'}",0.8290791998467855,0.9917448405253283,0.9917383333345875,0.8124531132783196,0.8089963405939511,0.1827419927406364
TFIDF-SVD+PH,SVM,"{'C': 10, 'kernel': 'rbf'}",0.8042643504771692,0.9112570356472796,0.9112521746545015,0.7959489872468117,0.7950211380958602,0.11623103655864131
AAC-CV+PH,RandomForest,"{'max_depth': None, 'min_samples_leaf': 1, 'n_estimators': 400}",0.7641446489904322,1.0,1.0,0.7644411102775694,0.7604694317067775,0.2395305682932225
AAC-CV,SVM,"{'C': 10, 'kernel': 'rbf'}",0.7628459063501678,0.8589118198874296,0.8584968071312625,0.7591897974493623,0.7586342199675479,0.09986258716371466
TFIDF-SVD+PH,LogisticRegression,"{'C': 10, 'solver': 'lbfgs'}",0.7644958758596955,0.7951219512195122,0.7970763938159168,0.7561890472618155,0.7582273974398256,0.03884899637609118
TFIDF-SVD+PH,RandomForest,"{'max_depth': 20, 'min_samples_leaf': 5, 'n_estimators': 200}",0.768336645601635,0.9819887429643527,0.9819842547808112,0.759939984996249,0.7560251716782639,0.2259590831025473
AAC-CV+TFIDF-SVD,RandomForest,"{'max_depth': 20, 'min_samples_leaf': 5, 'n_estimators': 200}",0.7650078370507144,0.9825515947467167,0.9825469856989596,0.759939984996249,0.7554009220198991,0.22714606367906054
AAC-CV+TFIDF-SVD,LogisticRegression,"{'C': 10, 'solver': 'lbfgs'}",0.7525302332101228,0.7836772983114446,0.7859772680913661,0.7441860465116279,0.747116763915727,0.03886050417563913
AAC-CV,RandomForest,"{'max_depth': None, 'min_samples_leaf': 5, 'n_estimators': 200}",0.7462055197203936,0.9525328330206378,0.9525346304183606,0.746436609152288,0.7432226124389956,0.20931201797936505
TFIDF-SVD,LogisticRegression,"{'C': 1, 'solver': 'lbfgs'}",0.7476624077574945,0.7613508442776735,0.7650506965190841,0.7306826706676669,0.7347933739579383,0.030257322561145772
TFIDF-SVD,RandomForest,"{'max_depth': None, 'min_samples_leaf': 5, 'n_estimators': 200}",0.7546229751012593,0.9885553470919325,0.9885524552294919,0.7381845461365342,0.7327240004167669,0.255828454812725
PH,RandomForest,"{'max_depth': None, 'min_samples_leaf': 1, 'n_estimators': 200}",0.6890567520336255,1.0,1.0,0.6751687921980495,0.6714041020875049,0.3285958979124951
AAC-CV+PH,SVM,"{'C': 10, 'kernel': 'linear'}",0.6892579409891908,0.6966228893058162,0.6976006678443856,0.6616654163540885,0.6608941882628239,0.0367064795815617
PH,SVM,"{'C': 10, 'kernel': 'rbf'}",0.6558258251416447,0.700375234521576,0.6981969453464394,0.6451612903225806,0.6428731375852281,0.05532380776121126
AAC-CV+PH,LogisticRegression,"{'C': 100, 'solver': 'lbfgs'}",0.6620993307344657,0.6669793621013134,0.6708817842645888,0.6271567891972993,0.6294767168869518,0.04140506737763694
AAC-CV,LogisticRegression,"{'C': 100, 'solver': 'lbfgs'}",0.6512438453666517,0.6515947467166979,0.6567517031214541,0.609152288072018,0.6114872239655758,0.04526447915587839
PH,LogisticRegression,"{'C': 100, 'solver': 'lbfgs'}",0.539939277510397,0.5409005628517823,0.5445247396014029,0.4808702175543886,0.48801476590222964,0.056509973699173266
