Feature set,Model,Best params,CV F1 micro,Train F1 micro,Train F1 macro,Train Subset Accuracy,Test F1 micro,Test F1 macro,Test F1 samples,Test Subset Accuracy,Test Hamming Loss,Overfit Gap (F1 micro)
AAC-CV+TFIDF-SVD,SVM,"{'model__estimator__C': 10, 'model__estimator__kernel': 'rbf'}",0.6865789439232858,0.955217239296952,0.9582199037848576,0.8876836351212846,0.6909374593680926,0.6564075003151415,0.6818987637042221,0.4443666899930021,0.1663400979706088,0.2642797799288594
TFIDF-SVD,SVM,"{'model__estimator__C': 10, 'model__estimator__kernel': 'rbf'}",0.6833180438070784,0.966465266455676,0.969308965137676,0.9157840792620431,0.687352090454904,0.6520485007354007,0.6762304641940751,0.44331700489853043,0.16641007697690693,0.279113176000772
AAC-CV+TFIDF-SVD+PH,SVM,"{'model__estimator__C': 10, 'model__estimator__kernel': 'rbf'}",0.6676077431913653,0.7833036782078581,0.76087616255006,0.5298086778271267,0.6744570349386213,0.635077657962184,0.6841130994035123,0.3796361091672498,0.19300209937018895,0.10884664326923676
TFIDF-SVD+PH,SVM,"{'model__estimator__C': 10, 'model__estimator__kernel': 'rbf'}",0.6667229837354293,0.7828546435340429,0.7603747889910206,0.5296378544584899,0.6735947094945678,0.6341866797030897,0.6832450264920524,0.37788663400979705,0.1934219734079776,0.10925993403947509
AAC-CV+TFIDF-SVD+PH,RandomForest,"{'model__estimator__max_depth': 10, 'model__estimator__min_samples_leaf': 2, 'model__estimator__n_estimators': 200}",0.6574326694587705,0.8578523037307256,0.8582921985513314,0.6715066621113769,0.6592091571279917,0.6150528898028644,0.6420223932820154,0.3908327501749475,0.18334499650104968,0.19864314660273397
TFIDF-SVD+PH,RandomForest,"{'model__estimator__max_depth': 10, 'model__estimator__min_samples_leaf': 5, 'model__estimator__n_estimators': 200}",0.6540673172931875,0.82,0.8239312604942363,0.5990775538093611,0.65876052027544,0.6143611336337795,0.6468975973874505,0.38558432470258924,0.18726382085374388,0.16123947972456
AAC-CV+TFIDF-SVD,RandomForest,"{'model__estimator__max_depth': 10, 'model__estimator__min_samples_leaf': 5, 'model__estimator__n_estimators': 200}",0.6523594638526685,0.8398998228574919,0.8393081754044955,0.6353775196446874,0.6550657385924207,0.6140353810438303,0.6353160718451132,0.3768369489153254,0.18726382085374388,0.1848340842650712
TFIDF-SVD,RandomForest,"{'model__estimator__max_depth': 10, 'model__estimator__min_samples_leaf': 5, 'model__estimator__n_estimators': 200}",0.6509647934723582,0.8142690489347332,0.8185101189515904,0.5886573283225145,0.6510383488342464,0.6042669446410587,0.636937252157686,0.37753673897830653,0.19167249825052485,0.1632307001004868
AAC-CV+PH,RandomForest,"{'model__estimator__max_depth': 10, 'model__estimator__min_samples_leaf': 5, 'model__estimator__n_estimators': 200}",0.6501591757770152,0.8067429259482239,0.7971804323503993,0.5751622822002049,0.6508534136546185,0.6123260823317881,0.6442000733113399,0.3747375787263821,0.1946815955213436,0.15588951229360548
AAC-CV,SVM,"{'model__estimator__C': 10, 'model__estimator__kernel': 'rbf'}",0.6396021610292374,0.7245575838776308,0.6956587456108883,0.43645370686709944,0.6466466466466466,0.6040168335227858,0.6587573727881637,0.3184044786564031,0.22232330300909728,0.07791093723098419
AAC-CV,RandomForest,"{'model__estimator__max_depth': 10, 'model__estimator__min_samples_leaf': 2, 'model__estimator__n_estimators': 200}",0.6325110930564305,0.8273843647225658,0.8175671151814923,0.6172702425691835,0.6388426577902957,0.5919117597050374,0.6176930254257057,0.3547935619314206,0.19741077676696991,0.18854170693227013
AAC-CV+TFIDF-SVD+PH,LogisticRegression,{'model__estimator__C': 100},0.6257068519862199,0.6411522187262667,0.6063112432350921,0.298599248377178,0.6232219649354945,0.5861510887362912,0.63370488853344,0.28376487053883837,0.2391182645206438,0.017930253790772177
TFIDF-SVD+PH,LogisticRegression,{'model__estimator__C': 100},0.6220507904897549,0.6369158500040496,0.6019593659629106,0.2874957294157841,0.6216633575998235,0.5852159482873015,0.6315255423372989,0.2806158152554234,0.24002799160251925,0.015252492404226103
AAC-CV+TFIDF-SVD,LogisticRegression,{'model__estimator__C': 100},0.621374832663204,0.6378419329527314,0.6034447550930452,0.29330372394943627,0.6225749559082893,0.5850373301933596,0.6310673464627279,0.28376487053883837,0.23960811756473058,0.015266977044442132
TFIDF-SVD,LogisticRegression,{'model__estimator__C': 10},0.6171815446212595,0.6314029979510406,0.5972313657097894,0.28151691151349506,0.6180257510729614,0.5807120935168577,0.6275950548168883,0.2788663400979706,0.24289713086074177,0.013377246878079174
AAC-CV+PH,SVM,"{'model__estimator__C': 10, 'model__estimator__kernel': 'rbf'}",0.5995753267941055,0.637132632035571,0.6030605179291461,0.310129825760164,0.6126106436455032,0.5724360712156005,0.6286305774934187,0.2729181245626312,0.24807557732680197,0.024521988390067806
PH,RandomForest,"{'model__estimator__max_depth': 25, 'model__estimator__min_samples_leaf': 5, 'model__estimator__n_estimators': 200}",0.5813767470259701,0.8927688700171114,0.8935187335812795,0.7622138708575333,0.5957851801495582,0.531687451225811,0.5749708420807091,0.36738978306508047,0.20804758572428272,0.2969836898675532
AAC-CV+PH,LogisticRegression,{'model__estimator__C': 100},0.5658964528770553,0.5672271094685336,0.5330733638567178,0.18372053296891014,0.5638119227539883,0.5275063158987741,0.5660168616081843,0.17984604618614417,0.29083275017494753,0.0034151867145453263
AAC-CV,LogisticRegression,{'model__estimator__C': 100},0.5613321120372622,0.5631542037869146,0.5287204321642289,0.18073112401776564,0.5633058549989431,0.5267589315196066,0.5624229397847312,0.18789363191042688,0.2891532540237929,-0.00015165121202853626
PH,SVM,"{'model__estimator__C': 10, 'model__estimator__kernel': 'rbf'}",0.5568374907015636,0.5817448206295425,0.5466203086770245,0.24393577041339254,0.5670795716985093,0.52998783543227,0.5851311273284682,0.2179846046186144,0.288593421973408,0.014665248931033159
PH,LogisticRegression,{'model__estimator__C': 10},0.5025925459804129,0.5030841053675528,0.47362230461896326,0.10582507687051589,0.504757233938205,0.4737012674036567,0.4978331500549835,0.10076976906927922,0.35332400279916026,-0.0016731285706522714
