Feature set,Model,Best params,CV F1 (weighted),Train Accuracy,Train F1 (weighted),Test Accuracy,Test F1 (weighted),Overfit Gap (F1)
AAC-CV+TFIDF-SVD,SVM,"{'C': 10, 'kernel': 'rbf'}",0.7009041189640799,0.962766584187581,0.9628648068112018,0.7148916116870877,0.7178922838515521,0.24497252295964966
TFIDF-SVD,SVM,"{'C': 10, 'kernel': 'rbf'}",0.6978448676514802,0.9718392836102274,0.971904279913321,0.7144203581526861,0.7171044539829018,0.25479982593041917
AAC-CV+TFIDF-SVD+PH,SVM,"{'C': 10, 'kernel': 'rbf'}",0.684558103532788,0.8187816660775303,0.820739480615513,0.6786050895381716,0.6854182857132387,0.13532119490227434
TFIDF-SVD+PH,SVM,"{'C': 10, 'kernel': 'rbf'}",0.682511208475694,0.8172499116295511,0.8191741975069287,0.6804901036757776,0.6870456126406348,0.13212858486629386
AAC-CV+TFIDF-SVD+PH,RandomForest,"{'max_depth': 15, 'min_samples_leaf': 5, 'n_estimators': 200}",0.6666537239988252,0.954636502886768,0.9545284788514276,0.6677662582469368,0.6695375639210868,0.2849909149303408
AAC-CV+TFIDF-SVD+PH,LogisticRegression,"{'C': 10, 'solver': 'lbfgs'}",0.6642133751327377,0.6888181925297514,0.6938493363367148,0.6409048067860509,0.648714658718345,0.045134677618369756
TFIDF-SVD+PH,RandomForest,"{'max_depth': 15, 'min_samples_leaf': 5, 'n_estimators': 200}",0.6602949251598366,0.9532225757040179,0.953115579479565,0.6696512723845429,0.6713876274927619,0.2817279519868031
TFIDF-SVD+PH,LogisticRegression,"{'C': 10, 'solver': 'lbfgs'}",0.6595457283731452,0.6866973017556263,0.6919016012919768,0.6418473138548539,0.6491454996318703,0.04275610166010646
AAC-CV+PH,RandomForest,"{'max_depth': 15, 'min_samples_leaf': 2, 'n_estimators': 200}",0.6556093073858377,0.9758454106280193,0.9758844114703976,0.6814326107445806,0.6815759356271316,0.294308475843266
AAC-CV+TFIDF-SVD,LogisticRegression,"{'C': 10, 'solver': 'lbfgs'}",0.6533307039484102,0.6791563567809591,0.6853888506088083,0.6404335532516494,0.6481600935216989,0.037228757087109376
AAC-CV+TFIDF-SVD,RandomForest,"{'max_depth': 15, 'min_samples_leaf': 5, 'n_estimators': 200}",0.6514544581118679,0.9595852480263933,0.9595375547549267,0.6479736098020735,0.6490334301260656,0.3105041246288611
TFIDF-SVD,LogisticRegression,"{'C': 1, 'solver': 'lbfgs'}",0.6509696476786812,0.6676092847885,0.674812466296415,0.6319509896324222,0.6398287049069893,0.034983761389425716
TFIDF-SVD,RandomForest,"{'max_depth': 15, 'min_samples_leaf': 5, 'n_estimators': 200}",0.6467092397519038,0.9652409567573936,0.9652263999596251,0.6592836946277097,0.6617574716498855,0.3034689283097396
AAC-CV,SVM,"{'C': 10, 'kernel': 'rbf'}",0.639323968649323,0.7518557794273595,0.7553807886914384,0.6508011310084826,0.6572425790434961,0.09813820964794229
AAC-CV,RandomForest,"{'max_depth': 15, 'min_samples_leaf': 5, 'n_estimators': 200}",0.631430005955019,0.9003181336161188,0.9003367058773543,0.6451460885956645,0.6464960374582663,0.2538406684190879
AAC-CV+PH,SVM,"{'C': 10, 'kernel': 'linear'}",0.5912542417314645,0.5904324260633911,0.5994544808649773,0.5824693685202639,0.5926080849579644,0.00684639590701297
AAC-CV+PH,LogisticRegression,"{'C': 100, 'solver': 'lbfgs'}",0.586541906734506,0.5841875810062448,0.5933838303044904,0.5777568331762488,0.5871863058778174,0.0061975244266729845
AAC-CV,LogisticRegression,"{'C': 100, 'solver': 'lbfgs'}",0.5756026756382862,0.5699304819135148,0.5777125800426994,0.560320452403393,0.5704849141273451,0.007227665915354287
PH,RandomForest,"{'max_depth': 15, 'min_samples_leaf': 2, 'n_estimators': 200}",0.5667595159103332,0.9260044774360787,0.9262642026664633,0.5725730442978322,0.5769046733565792,0.349359529309884
PH,SVM,"{'C': 10, 'kernel': 'rbf'}",0.5514132543392934,0.5744079179922233,0.5876300612596869,0.5334590009425071,0.5517594608320701,0.035870600427616806
PH,LogisticRegression,"{'C': 100, 'solver': 'lbfgs'}",0.49136235986661064,0.4868622599269471,0.49279192657515,0.4806786050895382,0.48633779679950057,0.006454129775649409
