Feature set,Model,Best params,CV F1 micro,Train F1 micro,Train F1 macro,Train Subset Accuracy,Test F1 micro,Test F1 macro,Test F1 samples,Test Subset Accuracy,Test Hamming Loss,Overfit Gap (F1 micro)
AAC-CV+TFIDF-SVD,SVM,"{'model__estimator__C': 10, 'model__estimator__kernel': 'rbf'}",0.7965012092883369,0.9847505387037958,0.9867752201686102,0.9679248626617047,0.8161764705882353,0.8063575422903035,0.8043571428571428,0.7285714285714285,0.07857142857142857,0.16857406811556053
TFIDF-SVD,SVM,"{'model__estimator__C': 10, 'model__estimator__kernel': 'rbf'}",0.79441556418143,0.9889360286165877,0.9903208896498497,0.9766081871345029,0.8144399460188934,0.8018211245893039,0.7985476190476191,0.7292857142857143,0.07857142857142857,0.17449608259769434
TFIDF-SVD+PH,SVM,"{'model__estimator__C': 10, 'model__estimator__kernel': 'rbf'}",0.7668460041811529,0.8817303978370027,0.8828970750651361,0.7742335637072479,0.7704353272784216,0.7562496022994797,0.7797857142857143,0.6507142857142857,0.10471428571428572,0.11129507055858112
AAC-CV+TFIDF-SVD+PH,SVM,"{'model__estimator__C': 10, 'model__estimator__kernel': 'rbf'}",0.7668345270621346,0.8814397157642697,0.882547404587058,0.7740563530037214,0.7700969659055364,0.7561988712999292,0.7796666666666666,0.6507142857142857,0.105,0.11134274985873327
AAC-CV+PH,RandomForest,"{'model__estimator__max_depth': 25, 'model__estimator__min_samples_leaf': 5, 'model__estimator__n_estimators': 200}",0.7397507265965316,0.9610991557689125,0.9647753698195682,0.9269891901470849,0.7528248587570622,0.7411776548810319,0.7190238095238095,0.6671428571428571,0.1,0.2082742970118503
AAC-CV+TFIDF-SVD+PH,RandomForest,"{'model__estimator__max_depth': 10, 'model__estimator__min_samples_leaf': 5, 'model__estimator__n_estimators': 200}",0.7326374616004504,0.92128,0.9342835787366385,0.8444090023037392,0.7423521414004078,0.725217071177027,0.7171666666666666,0.6342857142857142,0.10828571428571429,0.17892785859959215
TFIDF-SVD+PH,RandomForest,"{'model__estimator__max_depth': 10, 'model__estimator__min_samples_leaf': 5, 'model__estimator__n_estimators': 200}",0.7277976826013458,0.9163729573854534,0.9286583081904531,0.837497784866206,0.726158038147139,0.7040087358047551,0.7008809523809524,0.6207142857142857,0.11485714285714285,0.19021491923831446
AAC-CV+TFIDF-SVD,RandomForest,"{'model__estimator__max_depth': 10, 'model__estimator__min_samples_leaf': 5, 'model__estimator__n_estimators': 200}",0.7231968318645356,0.9266365688487584,0.9380456967604498,0.8582314371788056,0.73831123517097,0.7158945892503572,0.7028571428571427,0.6328571428571429,0.10714285714285714,0.18832533367778848
AAC-CV,SVM,"{'model__estimator__C': 10, 'model__estimator__kernel': 'rbf'}",0.7196162046822501,0.8090333970869501,0.8062942758399168,0.6489455963140174,0.7322274881516587,0.7214605732837926,0.7544285714285714,0.5692857142857143,0.12914285714285714,0.07680590893529138
AAC-CV,RandomForest,"{'model__estimator__max_depth': 10, 'model__estimator__min_samples_leaf': 5, 'model__estimator__n_estimators': 200}",0.716977786167644,0.8828984596038981,0.8955233778351154,0.7752968279284069,0.729380589599205,0.7168261476778769,0.7122142857142857,0.6114285714285714,0.11671428571428571,0.15351787000469308
TFIDF-SVD,RandomForest,"{'model__estimator__max_depth': 10, 'model__estimator__min_samples_leaf': 5, 'model__estimator__n_estimators': 200}",0.7073094024018478,0.9285192697768763,0.9407297493730269,0.8649654439128124,0.7120456165359943,0.6843506552641861,0.6681666666666666,0.61,0.11542857142857142,0.21647365324088197
AAC-CV+TFIDF-SVD+PH,LogisticRegression,{'model__estimator__C': 100},0.6933605508351364,0.7241476472245703,0.7115169121371278,0.5101896154527733,0.6959478605837348,0.6831566522598148,0.7199047619047618,0.4828571428571429,0.15328571428571428,0.028199786640835445
TFIDF-SVD+PH,LogisticRegression,{'model__estimator__C': 10},0.6899798843857754,0.7151983151983152,0.7024854560909549,0.49051922736133263,0.6914350538854226,0.6778678949550583,0.7128333333333333,0.46785714285714286,0.15542857142857142,0.023763261312892636
AAC-CV+TFIDF-SVD,LogisticRegression,{'model__estimator__C': 100},0.6878731540946382,0.7170285554702227,0.7040103239671021,0.4984937090200248,0.6870748299319728,0.670701958846492,0.7086666666666667,0.47928571428571426,0.15771428571428572,0.02995372553824993
TFIDF-SVD,LogisticRegression,{'model__estimator__C': 10},0.6800112405146116,0.7066084182788989,0.6933160668839757,0.4758107389686337,0.6783295711060948,0.6628437605208708,0.6986428571428571,0.4564285714285714,0.16285714285714287,0.028278847172804045
PH,RandomForest,"{'model__estimator__max_depth': 25, 'model__estimator__min_samples_leaf': 5, 'model__estimator__n_estimators': 200}",0.6735431053308547,0.8855071309059039,0.8867657728164072,0.7940811625022152,0.6845098695215791,0.6666598159890699,0.6665,0.5828571428571429,0.1347142857142857,0.20099726138432483
AAC-CV+PH,SVM,"{'model__estimator__C': 10, 'model__estimator__kernel': 'rbf'}",0.6643922598429546,0.7126893809556455,0.7007041160296134,0.494240652135389,0.6730506155950753,0.6563894287524765,0.7002142857142857,0.4521428571428571,0.1707142857142857,0.039638765360570205
PH,SVM,"{'model__estimator__C': 10, 'model__estimator__kernel': 'rbf'}",0.626739847683964,0.6606538895152199,0.6456669491801469,0.4182172603225235,0.6267942583732058,0.6067451486902999,0.6506904761904763,0.37714285714285717,0.20057142857142857,0.03385963114201407
AAC-CV+PH,LogisticRegression,{'model__estimator__C': 100},0.6051816239085294,0.6064986567736983,0.5949550550154236,0.28477760056707424,0.6130189646335212,0.5997644134882736,0.6219285714285715,0.26285714285714284,0.21571428571428572,-0.006520307859822938
AAC-CV,LogisticRegression,{'model__estimator__C': 100},0.5972025100574034,0.6008010680907877,0.5905538437945641,0.2636895268474216,0.6002034587995931,0.5869456049967244,0.6070476190476191,0.24357142857142858,0.22457142857142856,0.0005976092911945674
PH,LogisticRegression,{'model__estimator__C': 0.1},0.508837202527888,0.508829221093372,0.5044697883933568,0.10526315789473684,0.5085075352455032,0.5054522531855108,0.48880952380952375,0.10714285714285714,0.28885714285714287,0.0003216858478688467
