Feature set,Model,Best params,CV F1 (weighted),Train Accuracy,Train F1 (weighted),Test Accuracy,Test F1 (weighted),Overfit Gap (F1)
AAC-CV+TFIDF-SVD,SVM,"{'C': 10, 'kernel': 'rbf'}",0.8079173776613265,0.9893058161350844,0.9892938421480909,0.8132033008252063,0.8098275119935101,0.1794663301545808
TFIDF-SVD,SVM,"{'C': 10, 'kernel': 'rbf'}",0.8069576697025704,0.9924953095684803,0.992488637994481,0.8169542385596399,0.8134766526311332,0.17901198536334773
TFIDF-SVD+PH,SVM,"{'C': 10, 'kernel': 'rbf'}",0.7882300294508878,0.9183864915572233,0.918420046248602,0.8042010502625656,0.8033415282330842,0.11507851801551772
AAC-CV+TFIDF-SVD+PH,SVM,"{'C': 10, 'kernel': 'rbf'}",0.7875855677296685,0.9202626641651032,0.9203039506120816,0.8019504876219055,0.8011149722615339,0.11918897835054765
AAC-CV,SVM,"{'C': 10, 'kernel': 'rbf'}",0.7625334876762963,0.8589118198874296,0.8584968071312625,0.7591897974493623,0.7586342199675479,0.09986258716371466
AAC-CV+TFIDF-SVD+PH,RandomForest,"{'max_depth': 15, 'min_samples_leaf': 5, 'n_estimators': 200}",0.7606684584113127,0.9703564727954972,0.970360498814259,0.7569392348087022,0.7530487879753396,0.21731171083891943
AAC-CV+PH,RandomForest,"{'max_depth': 15, 'min_samples_leaf': 2, 'n_estimators': 200}",0.7589834904481542,0.9894934333958724,0.989504670574476,0.7674418604651163,0.7638488150995966,0.22565585547487943
AAC-CV+TFIDF-SVD+PH,LogisticRegression,"{'C': 10, 'solver': 'lbfgs'}",0.7566435339411939,0.7938086303939963,0.7955677440798327,0.7531882970742686,0.7556563097329754,0.03991143434685729
TFIDF-SVD+PH,LogisticRegression,"{'C': 10, 'solver': 'lbfgs'}",0.7560572964735602,0.7913696060037524,0.7932791544872924,0.7524381095273819,0.7545278174780448,0.0387513370092476
TFIDF-SVD+PH,RandomForest,"{'max_depth': 15, 'min_samples_leaf': 5, 'n_estimators': 200}",0.7502769380460125,0.9609756097560975,0.960990018416537,0.7501875468867217,0.7451118621461865,0.21587815627035045
AAC-CV+TFIDF-SVD,RandomForest,"{'max_depth': 10, 'min_samples_leaf': 5, 'n_estimators': 200}",0.7464770418990178,0.9037523452157599,0.9042229252524789,0.7426856714178545,0.7384409964108063,0.16578192884167264
AAC-CV+TFIDF-SVD,LogisticRegression,"{'C': 10, 'solver': 'lbfgs'}",0.7407486340303588,0.7797373358348968,0.7824058346717652,0.7381845461365342,0.7428421453897521,0.03956368928201304
TFIDF-SVD,RandomForest,"{'max_depth': 15, 'min_samples_leaf': 5, 'n_estimators': 200}",0.7395456557999314,0.9626641651031895,0.9627443101955742,0.7389347336834209,0.7339685829379736,0.22877572725760054
AAC-CV,RandomForest,"{'max_depth': 15, 'min_samples_leaf': 2, 'n_estimators': 200}",0.73934390406892,0.9904315196998124,0.9904333600927684,0.7509377344336085,0.7460511070978707,0.2443822529948977
TFIDF-SVD,LogisticRegression,"{'C': 10, 'solver': 'lbfgs'}",0.7352927460053511,0.7722326454033771,0.7755194007107276,0.7351837959489872,0.7398256975773069,0.035693703133420684
AAC-CV+PH,SVM,"{'C': 10, 'kernel': 'linear'}",0.6857952493299169,0.6966228893058162,0.6976006678443856,0.6616654163540885,0.6608941882628239,0.0367064795815617
PH,RandomForest,"{'max_depth': 15, 'min_samples_leaf': 2, 'n_estimators': 200}",0.6837864778302903,0.9566604127579738,0.9566600493567732,0.6789197299324832,0.6763374890519847,0.2803225603047885
AAC-CV+PH,LogisticRegression,"{'C': 100, 'solver': 'lbfgs'}",0.6604256180849498,0.6662288930581614,0.6702711221952737,0.6286571642910728,0.6309648461950862,0.039306276000187546
AAC-CV,LogisticRegression,"{'C': 100, 'solver': 'lbfgs'}",0.6506669711783091,0.6515947467166979,0.6568734249477699,0.6106526631657915,0.6134027056870479,0.04347071926072199
PH,SVM,"{'C': 10, 'kernel': 'rbf'}",0.6488715248371925,0.700375234521576,0.6981969453464394,0.6451612903225806,0.6428731375852281,0.05532380776121126
PH,LogisticRegression,"{'C': 10, 'solver': 'lbfgs'}",0.5417110889801259,0.5409005628517823,0.5445074265970234,0.4808702175543886,0.48801476590222964,0.056492660694793806
