Entry,label_encoded
Q9UKF2,0
P60953,0
Q92985,3
Q8N131,1
Q8NH79,1
Q96PL2,2
Q9BY41,0
O00270,1
Q96DT6,0
Q9Y6R1,4
Q13207,3
Q96P20,0
O00743,0
P02549,2
Q8NEC5,4
P62068,0
P0C628,1
P47211,1
Q9NVE5,0
Q13219,0
Q9GZV3,4
O60783,2
Q06124,0
Q8TDX9,4
Q969M2,4
Q86YA3,0
Q15928,3
P61619,4
Q6IEU7,1
Q53S99,4
Q58FF7,0
Q9NZP2,1
Q9BW92,0
Q9ULS6,4
Q9BUQ8,0
O14523,4
Q14593,3
P20929,2
P17027,3
O14495,0
P30518,1
Q6XR72,4
O14798,1
P48201,4
Q8N8Q3,0
Q8NGT9,1
P55317,3
O43143,0
P12109,2
Q08334,1
Q8NFK1,4
Q96A05,4
Q99743,3
Q16670,3
Q6UWU2,0
P43489,1
Q9P0L1,3
Q8NGC5,1
Q6P4A7,4
Q9H2X3,1
Q9BX51,0
Q9BWW7,3
Q6ZSS3,3
Q9GZQ6,1
Q9NSD7,1
Q8NEP9,3
P61970,2
Q8TC21,3
O95221,1
P47871,1
P13995,0
Q15645,0
Q99708,0
A0A1W2PPF3,3
Q07343,0
O60315,3
Q8NH92,1
P57773,4
P05997,2
P51788,4
P79483,1
Q9NYW4,1
P07900,0
P83111,0
P59551,1
Q13398,3
Q9UQ90,0
Q99952,0
Q0P6H9,0
Q0D2K0,4
Q99442,1
Q7RTZ2,0
P07306,1
Q9BQT8,4
Q15198,1
Q9Y2W3,4
Q9H6B9,0
Q96EE3,2
Q63HN8,0
Q96S55,0
Q69384,2
P31274,3
P55735,2
O14924,0
Q13797,1
Q7Z3T1,1
Q8TAX9,4
Q9HBG4,4
P62684,2
Q9BYT1,4
P34931,0
Q9Y5K5,0
Q13241,1
O15198,3
Q8NGV6,1
A8MT65,3
O60841,0
Q14500,4
Q9H1R2,0
Q9Y2P5,4
Q9UL51,4
Q7RTX7,4
Q7Z2W7,4
O43772,4
P29320,1
Q86UW8,2
P11234,0
Q86UW2,4
Q5JTY5,0
Q9BUJ0,0
Q8IU80,0
A3KMH1,0
Q9BRQ5,4
Q8WTP8,0
O95471,2
P22914,2
Q969H6,0
Q8WUY3,0
P54762,1
O14863,4
O94993,3
P38646,0
O60313,0
Q9HBW9,1
Q15102,0
Q03014,3
P02775,4
P53794,4
Q92988,3
P58304,3
Q9H171,0
A0A1B0GVH4,0
Q07444,1
Q16877,0
Q13303,4
P25090,1
O94844,0
Q14643,4
A6NCV1,1
Q6IWH7,4
Q6AI14,4
Q6DN03,2
Q96L21,2
P63122,0
Q9H4A4,0
P35613,1
O00321,3
Q9NQH7,0
Q96AK3,0
Q9HB14,4
Q3MJ62,3
Q16775,0
Q9UK08,0
O75964,4
P0C7H9,0
P20674,4
O43240,0
Q9UBD6,4
P49411,0
P51688,0
O00421,1
P35236,0
A6NMS3,1
O43167,3
Q33E94,3
P01303,1
Q9Y651,3
P50151,0
Q15858,4
Q6KB66,2
Q3KNW1,3
O75333,3
Q96SL1,4
Q400G9,0
P14854,4
Q9NP94,4
P19532,3
Q9Y458,3
O95084,0
P08246,0
Q9BSK1,3
O95497,0
Q9UBX1,0
P15328,1
P59540,1
O43680,3
Q9H9Y4,0
Q9BPV8,1
Q5FYB1,0
Q9BZG2,0
Q6P988,0
Q969F8,1
Q5EBL2,3
Q8NGE0,1
P49711,3
P26038,2
P35638,3
Q8IYB9,3
Q96BY7,4
Q8NH37,1
Q9NYW0,1
Q3C1V8,3
P0CG39,2
Q8NAP8,3
Q9Y2U2,4
P59901,1
Q9NSB2,2
P55017,4
