Entry,Hydrolase,Receptor,Structural protein,Transcription factor,Transport protein
P03986,0,1,0,0,0
Q9NRU3,0,0,0,0,1
Q01167,0,0,0,1,0
P51788,0,0,0,0,1
Q9NXT0,0,0,0,1,0
O75439,1,0,0,0,0
P08574,0,0,0,0,1
O43678,0,0,0,0,1
Q9HD20,1,0,0,0,1
O15499,0,0,0,1,0
Q5SRE5,0,0,1,0,0
Q8NE86,0,0,0,0,1
Q96IV0,1,0,0,0,0
Q9Y6N6,0,0,1,0,0
P82673,0,0,1,0,0
Q3SY52,0,0,0,1,0
Q3KQV3,0,0,0,1,0
Q96HQ0,0,0,0,1,0
Q9H707,0,0,0,1,0
Q68DI1,0,0,0,1,0
Q9BSF4,0,0,0,0,1
Q9NX46,1,0,0,0,0
Q12972,1,0,0,0,0
Q9HC07,0,0,0,0,1
Q9Y584,0,0,0,0,1
Q8TAU3,0,0,0,1,0
Q16795,0,0,0,0,1
Q16787,0,0,1,0,0
O75489,0,0,0,0,1
Q96K37,0,0,0,0,1
O00231,0,0,1,0,0
Q9Y2Y9,0,0,0,1,0
P30153,1,0,0,0,0
A6NHR9,1,0,0,0,0
Q9BUY5,0,0,0,1,0
A6NDG6,1,0,0,0,0
Q96K62,0,0,0,1,0
Q99567,0,0,1,0,0
Q9Y2P7,0,0,0,1,0
Q15329,0,0,0,1,0
Q68DY9,0,0,0,1,0
Q9UHI6,1,0,0,0,0
Q9UL25,1,0,0,0,0
Q9HD33,0,0,1,0,0
P23229,0,1,0,0,0
P62070,1,0,0,0,0
P18146,0,0,0,1,0
Q9UJS0,0,0,0,0,1
P35613,0,1,0,0,0
Q6P9A1,0,0,0,1,0
O75380,0,0,0,0,1
O43598,1,0,0,0,0
Q9NTJ4,1,0,0,0,0
P52797,0,1,0,0,0
Q12765,1,0,0,0,0
Q8TEL6,0,0,0,0,1
Q9UBL9,0,1,0,0,1
Q96S44,1,0,0,0,0
Q9NP92,0,0,1,0,0
P15622,0,0,0,1,0
Q99835,0,1,0,0,0
Q8NCA9,0,0,0,1,0
P0C1H6,0,0,1,0,0
Q5VWZ2,1,0,0,0,0
P51787,0,0,0,0,1
P16260,0,0,0,0,1
Q14055,0,0,1,0,0
P12955,1,0,0,0,0
Q6PK81,0,0,0,1,0
Q13106,0,0,0,1,0
Q9UDW1,0,0,0,0,1
Q8N2E6,1,0,0,0,0
Q5JU69,1,0,0,0,0
Q8NBS3,0,0,0,0,1
Q9NS69,0,0,0,0,1
Q8NE01,0,0,0,0,1
Q8TCT7,1,0,0,0,0
Q7Z7H8,0,0,1,0,0
Q9NWU5,0,0,1,0,0
