Entry,MW,pI,GRAVY,Aromaticity,Instability
A0A0C4DH62,1910.0463999999997,5.24182834625244,-0.17058823529411762,0.17647058823529413,2.9588235294117675
A0A0A0MT87,1737.9955,9.994936561584474,0.23125,0.125,21.512499999999996
P01880,47499.216200000126,7.251086616516114,-0.4304651162790687,0.07674418604651162,64.0916279069769
P01876,42848.014900000075,5.426725578308105,-0.21030150753768884,0.07537688442211055,58.91133165829149
P01877,42333.453800000076,5.417347145080566,-0.2317135549872127,0.0741687979539642,57.40539641943736
P01859,43805.26430000007,6.111123847961425,-0.27088607594936687,0.09367088607594937,45.856481012658215
P01861,43831.142600000065,5.880641746520996,-0.275252525252525,0.09595959595959597,48.42073232323231
P01860,49092.414100000075,6.500527763366699,-0.356726457399103,0.08071748878923767,49.710112107623345
P01857,43911.379800000075,6.549636650085449,-0.269924812030075,0.09022556390977443,44.16819548872179
P01854,59538.50240000017,7.89500789642334,-0.3146520146520143,0.0750915750915751,40.838827838827875
P0DOX7,23378.808500000014,6.904994010925294,-0.4542056074766355,0.09345794392523364,49.68602803738316
P03986,21697.627800000017,5.954646110534668,-0.40105820105820145,0.09523809523809523,29.6089947089947
P0CF51,19803.75940000001,7.698125267028809,-0.2849710982658963,0.08670520231213874,34.23872832369942
A0A5B9,19967.403599999994,6.475348091125488,-0.2617977528089889,0.10112359550561797,35.66808988764042
P01850,19769.22239999999,5.800385093688964,-0.14715909090909116,0.10795454545454544,32.99267045454543
P0DOX2,48933.623100000055,6.234634971618653,-0.2351648351648356,0.07252747252747252,49.56021978021982
P0CF74,11276.407,6.9092000961303714,-0.46698113207547165,0.07547169811320754,69.7670754716981
P0DOY3,11265.4209,6.908347511291503,-0.4386792452830187,0.07547169811320754,73.09160377358488
P0DOY2,11293.434299999999,6.9092000961303714,-0.44433962264150934,0.07547169811320754,75.00292452830186
A0M8Q6,11253.463099999999,8.503653907775881,-0.4575471698113207,0.0660377358490566,65.96698113207546
P0CG04,11347.527999999998,7.890237236022949,-0.5198113207547168,0.07547169811320754,66.75198113207547
P01871,51922.93570000012,5.795383262634277,-0.2645569620253164,0.08438818565400844,37.38820675105486
A0A075B6Y3,2097.3738000000003,11.00038547515869,0.009999999999999986,0.1,16.025000000000002
P01848,15716.44049999999,4.577153205871583,-0.23357142857142865,0.10714285714285714,43.13642857142856
Q86U42,32748.68490000003,5.035616493225096,-0.8238562091503271,0.06209150326797386,57.37813725490195
Q7L5N1,36163.07970000004,5.467990684509277,-0.002752293577981628,0.07951070336391439,39.695749235474025
